quarter,next_quarter,rebalance_date_t0,rebalance_date_t1,long_return,short_return,ls_return,n_long,n_short,cum_ls,cum_long,cum_short
2023Q1,2023Q2,2023-05-15,2023-08-14,0.0977717964806405,0.09459272094921188,0.003179075531428613,51,44,1.0031790755314287,1.0977717964806404,1.094592720949212
2023Q2,2023Q3,2023-08-14,2023-11-14,-0.004308105113429941,-0.03869176998252621,0.03438366486909627,51,44,1.0376720486681912,1.093042480190843,1.0522409911656976
2023Q3,2023Q4,2023-11-14,2024-02-14,0.16835473437286352,0.10772075135748484,0.06063398301537869,51,45,1.1005902380426713,1.2770613566016282,1.165589181343211
2023Q4,2024Q1,2024-02-14,2024-05-15,0.09165311907579726,0.09348945947138751,-0.0018363403955902469,51,45,1.0985691797295614,1.3941080131853363,1.274559483872685
2024Q1,2024Q2,2024-05-15,2024-08-14,0.022728987085403003,-0.01209310743612511,0.03482209452152811,51,47,1.1368236595445418,1.4257946762126827,1.2591460991004804
2024Q2,2024Q3,2024-08-14,2024-11-14,0.15708538639119565,0.044997522512562615,0.11208786387863304,51,47,1.2642477951495799,1.6497661838400617,1.3158045540413594
2024Q3,2024Q4,2024-11-14,2025-02-14,0.03465113624992595,-0.029794704210337968,0.06444584046026391,51,47,1.34572330685803,1.706932456656824,1.2766005465550816
2024Q4,2025Q1,2025-02-14,2025-05-15,-0.05249135814557827,-0.010937342300798028,-0.04155401584478024,51,48,1.2898030992421614,1.617333253744139,1.2626379293960228
2025Q1,2025Q2,2025-05-15,2025-08-14,0.04269554864733663,0.0536008786421841,-0.010905329994847474,51,48,1.2757373708165487,1.686386184358327,1.3303164318185978
2025Q2,2025Q3,2025-08-14,2025-11-14,0.061979539789638154,0.019604547295561003,0.042374992494077154,51,48,1.3297967323293136,1.79090762397246,1.3563966832242476
2025Q3,2025Q4,2025-11-14,2026-02-14,0.05281120844549566,0.1366426424909157,-0.08383143404542004,51,49,1.2183179652692337,1.885487619808697,1.5417383102859223
